elements,sample_idx,time
1,0,0.000382
1,1,0.000017
1,2,0.000001
1,3,0.000000
1,4,0.000000
2,0,0.000002
2,1,0.000000
2,2,0.000000
2,3,0.000000
2,4,0.000000
4,0,0.000000
4,1,0.000000
4,2,0.000000
4,3,0.000000
4,4,0.000000
8,0,0.000001
8,1,0.000000
8,2,0.000000
8,3,0.000000
8,4,0.000000
16,0,0.000001
16,1,0.000000
16,2,0.000000
16,3,0.000000
16,4,0.000000
32,0,0.000024
32,1,0.000005
32,2,0.000002
32,3,0.000003
32,4,0.000003
64,0,0.000003
64,1,0.000003
64,2,0.000002
64,3,0.000002
64,4,0.000002
128,0,0.000014
128,1,0.000008
128,2,0.000007
128,3,0.000003
128,4,0.000003
256,0,0.000003
256,1,0.000003
256,2,0.000003
256,3,0.000003
256,4,0.000003
512,0,0.000004
512,1,0.000004
512,2,0.000003
512,3,0.000004
512,4,0.000004
1024,0,0.000011
1024,1,0.000010
1024,2,0.000013
1024,3,0.000012
1024,4,0.000010
2048,0,0.000016
2048,1,0.000012
2048,2,0.000012
2048,3,0.000012
2048,4,0.000012
4096,0,0.000027
4096,1,0.000020
4096,2,0.000020
4096,3,0.000019
4096,4,0.000018
8192,0,0.000040
8192,1,0.000034
8192,2,0.000034
8192,3,0.000034
8192,4,0.000033
16384,0,0.000068
16384,1,0.000062
16384,2,0.000086
16384,3,0.000065
16384,4,0.000062
32768,0,0.000130
32768,1,0.000123
32768,2,0.000130
32768,3,0.000120
32768,4,0.000127
65536,0,0.000479
65536,1,0.000028
65536,2,0.000026
65536,3,0.000026
65536,4,0.000027
131072,0,0.000244
131072,1,0.000042
131072,2,0.000053
131072,3,0.000042
131072,4,0.000047
262144,0,0.000339
262144,1,0.000109
262144,2,0.000103
262144,3,0.000105
262144,4,0.000096
524288,0,0.000647
524288,1,0.000257
524288,2,0.000249
524288,3,0.000254
524288,4,0.000247
1048576,0,0.001034
1048576,1,0.000510
1048576,2,0.000503
1048576,3,0.000498
1048576,4,0.000501
