elements,sample_idx,time
1,0,0.021592
1,1,0.000014
1,2,0.000002
1,3,0.000002
1,4,0.000003
2,0,0.000005
2,1,0.000002
2,2,0.000003
2,3,0.000002
2,4,0.000003
4,0,0.000003
4,1,0.000002
4,2,0.000004
4,3,0.000003
4,4,0.000002
8,0,0.000003
8,1,0.000002
8,2,0.000002
8,3,0.000002
8,4,0.000002
16,0,0.000004
16,1,0.000004
16,2,0.000004
16,3,0.000003
16,4,0.000003
32,0,0.000004
32,1,0.000003
32,2,0.000003
32,3,0.000003
32,4,0.000003
64,0,0.000009
64,1,0.000004
64,2,0.000004
64,3,0.000004
64,4,0.000004
128,0,0.000005
128,1,0.000004
128,2,0.000004
128,3,0.000004
128,4,0.000004
256,0,0.000006
256,1,0.000004
256,2,0.000005
256,3,0.000004
256,4,0.000005
512,0,0.002763
512,1,0.000024
512,2,0.000007
512,3,0.000006
512,4,0.000006
1024,0,0.000010
1024,1,0.000008
1024,2,0.000010
1024,3,0.000009
1024,4,0.000008
2048,0,0.000012
2048,1,0.000014
2048,2,0.000013
2048,3,0.000016
2048,4,0.000018
4096,0,0.000032
4096,1,0.000018
4096,2,0.000020
4096,3,0.000018
4096,4,0.000020
8192,0,0.000030
8192,1,0.000027
8192,2,0.000026
8192,3,0.000026
8192,4,0.000024
16384,0,0.000496
16384,1,0.000038
16384,2,0.000035
16384,3,0.000039
16384,4,0.000036
32768,0,0.000243
32768,1,0.000057
32768,2,0.000068
32768,3,0.000054
32768,4,0.000052
65536,0,0.000239
65536,1,0.000064
65536,2,0.000058
65536,3,0.000057
65536,4,0.000058
131072,0,0.000205
131072,1,0.000115
131072,2,0.000114
131072,3,0.000114
131072,4,0.000110
262144,0,0.000380
262144,1,0.000201
262144,2,0.000198
262144,3,0.000193
262144,4,0.000190
524288,0,0.000680
524288,1,0.000366
524288,2,0.000368
524288,3,0.000367
524288,4,0.000366
1048576,0,0.001010
1048576,1,0.000722
1048576,2,0.000722
1048576,3,0.000734
1048576,4,0.000745
