elements,sample_idx,time
1048576,0,0.040333
1048576,1,0.000951
1048576,2,0.000944
1048576,3,0.001033
1048576,4,0.000835
524288,0,0.000375
524288,1,0.000370
524288,2,0.000370
524288,3,0.000398
524288,4,0.000378
262144,0,0.000218
262144,1,0.000191
262144,2,0.000189
262144,3,0.000233
262144,4,0.000191
131072,0,0.000102
131072,1,0.000101
131072,2,0.000101
131072,3,0.000101
131072,4,0.000146
65536,0,0.000063
65536,1,0.000061
65536,2,0.000058
65536,3,0.000058
65536,4,0.000058
32768,0,0.000076
32768,1,0.000043
32768,2,0.000045
32768,3,0.000044
32768,4,0.000044
16384,0,0.000046
16384,1,0.000074
16384,2,0.000069
16384,3,0.000065
16384,4,0.000051
8192,0,0.002125
8192,1,0.000022
8192,2,0.000021
8192,3,0.000021
8192,4,0.000021
4096,0,0.000015
4096,1,0.000016
4096,2,0.000015
4096,3,0.000015
4096,4,0.000015
2048,0,0.000014
2048,1,0.000012
2048,2,0.000011
2048,3,0.000011
2048,4,0.000011
1024,0,0.000008
1024,1,0.000008
1024,2,0.000008
1024,3,0.000008
1024,4,0.000008
512,0,0.000006
512,1,0.000006
512,2,0.000006
512,3,0.000006
512,4,0.000006
256,0,0.000012
256,1,0.000004
256,2,0.000005
256,3,0.000004
256,4,0.000004
128,0,0.000007
128,1,0.000005
128,2,0.000007
128,3,0.000007
128,4,0.000008
64,0,0.000004
64,1,0.000004
64,2,0.000004
64,3,0.000034
64,4,0.000004
32,0,0.000004
32,1,0.000004
32,2,0.000004
32,3,0.000003
32,4,0.000003
16,0,0.000003
16,1,0.000003
16,2,0.000003
16,3,0.000003
16,4,0.000004
8,0,0.000003
8,1,0.000003
8,2,0.000002
8,3,0.000003
8,4,0.000002
4,0,0.000003
4,1,0.000002
4,2,0.000002
4,3,0.000002
4,4,0.000002
2,0,0.000003
2,1,0.000003
2,2,0.000003
2,3,0.000002
2,4,0.000002
1,0,0.000002
1,1,0.000002
1,2,0.000002
1,3,0.000002
1,4,0.000002
