elements,sample_idx,time
1048576,0,0.026489
1048576,1,0.002172
1048576,2,0.007598
1048576,3,0.001905
1048576,4,0.006448
524288,0,0.001887
524288,1,0.000659
524288,2,0.000741
524288,3,0.000491
524288,4,0.000431
262144,0,0.000216
262144,1,0.000215
262144,2,0.000215
262144,3,0.000214
262144,4,0.000217
131072,0,0.000120
131072,1,0.000116
131072,2,0.000119
131072,3,0.000117
131072,4,0.000117
65536,0,0.000068
65536,1,0.000067
65536,2,0.000064
65536,3,0.000067
65536,4,0.000068
32768,0,0.000098
32768,1,0.000061
32768,2,0.000071
32768,3,0.000066
32768,4,0.000065
16384,0,0.000037
16384,1,0.000036
16384,2,0.000038
16384,3,0.000042
16384,4,0.000037
8192,0,0.002285
8192,1,0.000027
8192,2,0.000024
8192,3,0.000025
8192,4,0.000024
4096,0,0.000016
4096,1,0.000016
4096,2,0.000016
4096,3,0.000016
4096,4,0.000017
2048,0,0.000014
2048,1,0.000012
2048,2,0.000014
2048,3,0.000013
2048,4,0.000012
1024,0,0.000010
1024,1,0.000009
1024,2,0.000009
1024,3,0.000009
1024,4,0.000009
512,0,0.000007
512,1,0.000007
512,2,0.000007
512,3,0.000006
512,4,0.000006
256,0,0.000019
256,1,0.000005
256,2,0.000005
256,3,0.000005
256,4,0.000005
128,0,0.000004
128,1,0.000004
128,2,0.000004
128,3,0.000004
128,4,0.000004
64,0,0.000004
64,1,0.000005
64,2,0.000004
64,3,0.000004
64,4,0.000004
32,0,0.000004
32,1,0.000004
32,2,0.000003
32,3,0.000003
32,4,0.000004
16,0,0.000004
16,1,0.000003
16,2,0.000003
16,3,0.000004
16,4,0.000004
8,0,0.000003
8,1,0.000003
8,2,0.000003
8,3,0.000002
8,4,0.000003
4,0,0.000003
4,1,0.000002
4,2,0.000002
4,3,0.000002
4,4,0.000002
2,0,0.000003
2,1,0.000003
2,2,0.000002
2,3,0.000003
2,4,0.000002
1,0,0.000003
1,1,0.000002
1,2,0.000002
1,3,0.000003
1,4,0.000002
