elements,sample_idx,time
1,0,0.023448
1,1,0.000012
1,2,0.000002
1,3,0.000002
1,4,0.000002
2,0,0.000003
2,1,0.000003
2,2,0.000003
2,3,0.000003
2,4,0.000007
4,0,0.000002
4,1,0.000003
4,2,0.000003
4,3,0.000003
4,4,0.000002
8,0,0.000002
8,1,0.000002
8,2,0.000002
8,3,0.000003
8,4,0.000002
16,0,0.000005
16,1,0.000004
16,2,0.000003
16,3,0.000003
16,4,0.000003
32,0,0.000003
32,1,0.000003
32,2,0.000003
32,3,0.000003
32,4,0.000003
64,0,0.000009
64,1,0.000004
64,2,0.000003
64,3,0.000004
64,4,0.000003
128,0,0.000004
128,1,0.000004
128,2,0.000004
128,3,0.000004
128,4,0.000004
256,0,0.000005
256,1,0.000004
256,2,0.000004
256,3,0.000004
256,4,0.000004
512,0,0.002402
512,1,0.000007
512,2,0.000006
512,3,0.000006
512,4,0.000006
1024,0,0.000008
1024,1,0.000008
1024,2,0.000008
1024,3,0.000008
1024,4,0.000012
2048,0,0.000012
2048,1,0.000012
2048,2,0.000011
2048,3,0.000011
2048,4,0.000010
4096,0,0.000024
4096,1,0.000015
4096,2,0.000015
4096,3,0.000014
4096,4,0.000016
8192,0,0.000028
8192,1,0.000021
8192,2,0.000022
8192,3,0.000021
8192,4,0.000021
16384,0,0.000348
16384,1,0.000029
16384,2,0.000025
16384,3,0.000026
16384,4,0.000026
32768,0,0.000181
32768,1,0.000048
32768,2,0.000041
32768,3,0.000041
32768,4,0.000039
65536,0,0.000193
65536,1,0.000058
65536,2,0.000057
65536,3,0.000057
65536,4,0.000057
131072,0,0.000195
131072,1,0.000102
131072,2,0.000100
131072,3,0.000103
131072,4,0.000104
262144,0,0.000360
262144,1,0.000215
262144,2,0.000233
262144,3,0.000236
262144,4,0.000196
524288,0,0.000589
524288,1,0.000377
524288,2,0.000406
524288,3,0.000376
524288,4,0.000366
1048576,0,0.000966
1048576,1,0.000729
1048576,2,0.000722
1048576,3,0.000764
1048576,4,0.000837
