matrix_size,block_size,gpu_time_global,gpu_time_shared,speedup_global,speedup_shared,shared_advantage,time_saved_pct
50,32,0.001962,0.001413,0.00728,0.01024,1.388535031847134,27.9816513761468
50,64,0.001441,0.001532,0.009914,0.009166,0.9406005221932116,-6.315058986814708
50,100,0.001821,0.001715,0.00762,0.008246,1.0618075801749272,5.820977484898406
500,32,0.001823,0.002211,0.580088,0.484437,0.8245137946630484,-21.28359846407021
500,64,0.001477,0.002227,0.71377,0.477855,0.6632240682532555,-50.77860528097493
500,100,0.001756,0.002165,0.599145,0.499959,0.8110854503464203,-23.291571753986325
2000,32,0.002727,0.004095,10.901809,7.257389,0.6659340659340659,-50.165016501650165
2000,64,0.004501,0.00449,6.588532,6.613577,1.0024498886414253,0.24439013552543268
2000,100,0.004809,0.003853,6.240228,7.783453,1.248118349338178,19.879392805156996
4000,32,0.022847,0.018233,9.440915,11.910082,1.253057642735699,20.195211625158667
4000,64,0.017143,0.008238,12.583223,26.324326,2.080966253945132,51.945400454996204
4000,100,0.018095,0.014243,11.973847,15.202829,1.2704486414378993,21.28764852169107
